"[47.498216999999997, 19.055282000000002]"
"[47.513729999999995, 19.053284999999999]"
"[47.489072, 19.053325000000001]"
"[47.486150000000002, 19.055577]"
"[47.486196, 19.053905]"
"[47.486028999999995, 19.059674999999999]"
"[47.484729999999999, 19.060385999999998]"
"[47.482298999999998, 19.063586999999998]"
"[47.479560999999997, 19.065910000000002]"
"[47.515625999999997, 19.078486999999999]"
"[47.515490999999997, 19.077445000000001]"
"[47.514090000000003, 19.076370999999998]"
"[47.511744999999998, 19.073174999999999]"
"[47.511228000000003, 19.072337000000001]"
"[47.508541999999998, 19.068284999999999]"
"[47.505774000000002, 19.064163000000001]"
"[47.517386000000002, 19.092504000000002]"
"[47.517363000000003, 19.094684000000001]"
"[47.500834999999995, 19.096685000000001]"
"[47.515595000000005, 19.059129000000002]"
"[47.503641999999999, 19.06597]"
"[47.504277000000002, 19.064592000000001]"
"[47.513183000000005, 19.060969]"
"[47.514769999999999, 19.060905999999999]"
"[47.48048, 19.102402999999999]"
"[47.482951, 19.104485]"
"[47.478484999999999, 19.091009]"
"[47.492663, 19.054590000000001]"
"[47.483181999999999, 19.054164]"
"[47.481411999999999, 19.05396]"
"[47.479065000000006, 19.054019]"
"[47.478895999999999, 19.054344]"
"[47.480903000000005, 19.054523]"
"[47.481039000000003, 19.054985000000002]"
"[47.479359000000002, 19.057304000000002]"
"[47.479349999999997, 19.056678000000002]"
"[47.478928000000003, 19.058612]"
"[47.479126000000001, 19.058903000000001]"
"[47.517173999999997, 19.062061]"
"[47.510692999999996, 19.099892999999998]"
"[47.508912000000002, 19.094707]"
"[47.516345999999999, 19.091334]"
"[47.481378999999997, 19.056481999999999]"
"[47.481285999999997, 19.056704999999997]"
"[47.480907999999999, 19.054568]"
"[47.481569999999998, 19.053857999999998]"
"[47.481357000000003, 19.056218999999999]"
"[47.482424999999999, 19.068988000000001]"
"[47.484834999999997, 19.069716]"
"[47.489455999999997, 19.070664000000001]"
"[47.492191999999996, 19.071314999999998]"
"[47.496380000000002, 19.070595000000001]"
"[47.496697999999995, 19.070981]"
"[47.512104000000001, 19.053258]"
"[47.514808000000002, 19.076688000000001]"
"[47.516723999999996, 19.080510999999998]"
"[47.516455000000001, 19.074887]"
"[47.517173, 19.072417999999999]"
"[47.514558000000001, 19.064548000000002]"
"[47.513752000000004, 19.062239999999999]"
"[47.511813000000004, 19.063094]"
"[47.489532000000004, 19.054427]"
"[47.489136000000002, 19.0547]"
"[47.498603000000003, 19.053290000000001]"
"[47.499732000000002, 19.055026000000002]"
"[47.501886999999996, 19.058502000000001]"
"[47.503568999999999, 19.060989000000003]"
"[47.505371999999994, 19.063870999999999]"
"[47.506745000000002, 19.065709999999999]"
"[47.507863, 19.067239999999998]"
"[47.509540000000001, 19.069512]"
"[47.510444, 19.071035000000002]"
"[47.511572999999999, 19.072932000000002]"
"[47.513514000000001, 19.075838000000001]"
"[47.488599999999998, 19.053540999999999]"
"[47.510632000000001, 19.064696999999999]"
"[47.509700000000002, 19.069849999999999]"
"[47.508359000000006, 19.071607]"
"[47.500083000000004, 19.078758999999998]"
"[47.499045000000002, 19.079457999999999]"
"[47.498989999999999, 19.081342000000003]"
"[47.499326000000003, 19.084301]"
"[47.510428000000005, 19.064464999999998]"
"[47.510350000000003, 19.064453]"
"[47.510483000000001, 19.055562999999999]"
"[47.489384999999999, 19.061491]"
"[47.489769000000003, 19.062573]"
"[47.487946000000001, 19.058916]"
"[47.488100000000003, 19.05753]"
"[47.510360999999996, 19.065318999999999]"
"[47.510632000000001, 19.064924999999999]"
"[47.516140999999998, 19.059809000000001]"
"[47.492203000000003, 19.055558999999999]"
"[47.483872999999996, 19.053356000000001]"
"[47.482728999999999, 19.052817000000001]"
"[47.492713000000002, 19.054483999999999]"
"[47.489936999999998, 19.053820999999999]"
"[47.507585999999996, 19.054808999999999]"
"[47.500712, 19.099834000000001]"
"[47.500473999999997, 19.101732999999999]"
"[47.486514, 19.089351999999998]"
"[47.486539, 19.089524000000001]"
"[47.488832000000002, 19.056366000000001]"
"[47.49136, 19.061565999999999]"
"[47.489809000000001, 19.060357999999997]"
"[47.506720000000001, 19.053153999999999]"
"[47.509242999999998, 19.083055999999999]"
"[47.499604999999995, 19.090752999999999]"
"[47.500585000000001, 19.098299999999998]"
"[47.4998, 19.103679999999997]"
"[47.516452000000001, 19.053370000000001]"
"[47.492615999999998, 19.054354]"
"[47.488548000000002, 19.060123999999998]"
"[47.514045000000003, 19.053445]"
"[47.517268000000001, 19.053353000000001]"
"[47.516990999999997, 19.053164000000002]"
"[47.496668999999997, 19.070551000000002]"
"[47.496738999999998, 19.069375000000001]"
"[47.497034999999997, 19.070070999999999]"
"[47.499479999999998, 19.094198000000002]"
"[47.484034000000001, 19.061135999999998]"
"[47.481006999999998, 19.067534999999999]"
"[47.490561, 19.070177999999999]"
"[47.492313000000003, 19.071082999999998]"
"[47.509712999999998, 19.064636]"
"[47.484240999999997, 19.069295]"
"[47.478883000000003, 19.063598000000002]"
"[47.500484, 19.083030999999998]"
"[47.500463000000003, 19.083083999999999]"
"[47.515678000000001, 19.075801000000002]"
"[47.510058000000001, 19.081878]"
"[47.505903000000004, 19.083404999999999]"
"[47.504505000000002, 19.084904999999999]"
"[47.503354999999999, 19.086131999999999]"
"[47.503132999999998, 19.086497000000001]"
"[47.501480999999998, 19.088507]"
"[47.499794000000001, 19.096111999999998]"
"[47.496445000000001, 19.099830999999998]"
"[47.490076999999999, 19.104391]"
"[47.517309000000004, 19.061157000000001]"
"[47.517365000000005, 19.06119]"
"[47.517305999999998, 19.061150000000001]"
"[47.489840999999998, 19.104823]"
"[47.493409999999997, 19.101668]"
"[47.497728000000002, 19.098987000000001]"
"[47.498096000000004, 19.098772]"
